,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
0,0,3,0,1,1,0,0,2,Mr
1,1,1,1,2,1,0,3,0,Mr
2,1,3,1,1,0,0,1,2,Miss
3,1,1,1,2,1,0,3,2,Miss
4,0,3,0,2,0,0,1,2,Mr
5,0,3,0,1,0,0,1,1,Mr
6,0,1,0,3,0,0,3,2,Mr
7,0,3,0,0,1,1,2,2,Master
8,1,3,1,1,0,1,1,2,Master
9,1,2,1,0,1,0,2,0,Master
10,1,3,1,0,1,1,2,2,Miss
11,1,1,1,3,0,0,2,2,Miss
12,0,3,0,1,0,0,1,2,Mr
13,0,3,0,2,1,1,3,2,Mr
14,0,3,1,0,0,0,0,2,Miss
15,1,2,1,3,0,0,2,2,Miss
16,0,3,0,0,1,1,2,1,Master
17,1,2,0,1,0,0,1,2,Mr
18,0,3,1,1,1,0,2,2,Mr
19,1,3,1,1,0,0,0,0,Mr
20,0,2,0,2,0,0,2,2,Mr
21,1,2,0,2,0,0,1,2,Mr
22,1,3,1,0,0,0,1,1,Miss
23,1,1,0,1,0,0,3,2,Mr
24,0,3,1,0,1,1,2,2,Miss
25,1,3,1,2,1,1,3,2,Miss
26,0,3,0,1,0,0,0,0,Mr
27,0,1,0,1,1,1,3,2,Mr
28,1,3,1,1,0,0,0,1,Miss
29,0,3,0,1,0,0,0,2,Mr
30,0,1,0,2,0,0,2,0,Rare
31,1,1,1,1,1,0,3,0,Rare
32,1,3,1,1,0,0,0,1,Miss
33,0,2,0,4,0,0,1,2,Mr
34,0,1,0,1,1,0,3,0,Mr
35,0,1,0,2,1,0,3,2,Mr
36,1,3,0,1,0,0,0,0,Mr
37,0,3,0,1,0,0,1,2,Mr
38,0,3,1,1,1,0,2,2,Miss
39,1,3,1,0,1,0,1,0,Miss
40,0,3,1,2,1,0,1,2,Miss
41,0,2,1,1,1,0,2,2,Miss
42,0,3,0,1,0,0,0,0,Mr
43,1,2,1,0,1,1,3,0,Miss
44,1,3,1,1,0,0,0,1,Miss
45,0,3,0,1,0,0,1,2,Mr
46,0,3,0,1,1,0,2,1,Mr
47,1,3,1,1,0,0,0,1,Miss
48,0,3,0,1,1,0,2,0,Mr
49,0,3,1,1,1,0,2,2,Mr
50,0,3,0,0,1,1,3,2,Master
51,0,3,0,1,0,0,0,2,Mr
52,1,1,1,3,1,0,3,0,Mr
53,1,2,1,1,1,0,2,2,Mr
54,0,1,0,4,0,1,3,0,Mr
55,1,1,0,1,0,0,3,2,Mr
56,1,2,1,1,0,0,1,2,Miss
57,0,3,0,1,0,0,0,0,Mr
58,1,2,1,0,1,1,2,2,Miss
59,0,3,0,0,1,1,3,2,Master
60,0,3,0,1,0,0,0,0,Mr
61,1,1,1,2,0,0,3,2,Miss
62,0,1,0,2,1,0,3,2,Mr
63,0,3,0,0,1,1,2,2,Master
64,0,1,0,1,0,0,2,0,Mr
65,1,3,0,1,1,1,2,0,Master
66,1,2,1,1,0,0,1,2,Master
67,0,3,0,1,0,0,1,2,Mr
68,1,3,1,1,1,1,1,2,Miss
69,0,3,0,1,1,0,1,2,Mr
70,0,2,0,1,0,0,1,2,Mr
71,0,3,1,0,1,1,3,2,Miss
72,0,2,0,1,0,0,3,2,Mr
73,0,3,0,1,1,0,2,0,Mr
74,1,3,0,1,0,0,3,2,Mr
75,0,3,0,1,0,0,0,2,Mr
76,0,3,0,1,0,0,0,2,Mr
77,0,3,0,1,0,0,1,2,Mr
78,1,2,0,0,0,1,2,2,Master
79,1,3,1,1,0,0,1,2,Miss
80,0,3,0,1,0,0,1,2,Mr
81,1,3,0,1,0,0,1,2,Mr
82,1,3,1,1,0,0,0,1,Miss
83,0,1,0,1,0,0,3,2,Mr
84,1,2,1,1,0,0,1,2,Miss
85,1,3,1,2,1,0,2,2,Miss
86,0,3,0,0,1,1,3,2,Mr
87,0,3,0,1,0,0,1,2,Mr
88,1,1,1,1,1,1,3,2,Miss
89,0,3,0,1,0,0,1,2,Mr
90,0,3,0,1,0,0,1,2,Mr
91,0,3,0,1,0,0,0,2,Mr
92,0,1,0,2,1,0,3,2,Mr
93,0,3,0,1,1,1,2,2,Mr
94,0,3,0,3,0,0,0,2,Mr
95,0,3,0,1,0,0,1,2,Mr
96,0,1,0,4,0,0,3,0,Mr
97,1,1,0,1,0,1,3,0,Mr
98,1,2,1,2,0,1,2,2,Mr
99,0,2,0,2,1,0,2,2,Mr
100,0,3,1,1,0,0,0,2,Miss
101,0,3,0,1,0,0,0,2,Mr
102,0,1,0,1,0,1,3,2,Mr
103,0,3,0,2,0,0,1,2,Mr
104,0,3,0,2,1,0,1,2,Mr
105,0,3,0,1,0,0,0,2,Mr
106,1,3,1,1,0,0,0,2,Miss
107,1,3,0,1,0,0,0,2,Mr
108,0,3,0,2,0,0,0,2,Mr
109,1,3,1,1,1,0,2,1,Miss
110,0,1,0,2,0,0,3,2,Mr
111,0,3,1,0,1,0,2,0,Miss
112,0,3,0,1,0,0,1,2,Mr
113,0,3,1,1,1,0,1,2,Miss
114,0,3,1,1,0,0,2,0,Miss
115,0,3,0,1,0,0,1,2,Mr
116,0,3,0,4,0,0,0,1,Mr
117,0,2,0,1,1,0,2,2,Mr
118,0,1,0,1,0,1,3,0,Mr
119,0,3,1,0,1,1,3,2,Miss
